team,b_r,b_h,b_hr,p_er,win,loss,win_percentage
TOR,6,9,2,7,0,1,0.0
NYA,6,7,0,4,1,0,1.0
ANA,5,8,3,5,0,1,0.0
CHA,3,9,0,4,0,1,0.0
BAL,4,8,1,3,1,0,1.0
DET,4,6,0,11,0,1,0.0
BOS,11,12,0,4,1,0,1.0
LAN,6,6,2,7,0,1,0.0
CHN,7,7,2,6,1,0,1.0
ATL,3,8,1,1,1,0,1.0
CIN,1,5,0,2,0,1,0.0
MIA,2,5,1,5,0,1,0.0
CLE,6,9,1,2,1,0,1.0
WAS,5,12,1,9,0,1,0.0
COL,9,12,1,5,1,0,1.0
MIN,1,4,1,7,0,1,0.0
HOU,7,10,3,1,1,0,1.0
PHI,6,10,1,0,1,0,1.0
NYN,0,6,0,6,0,1,0.0
TEX,5,7,3,6,0,1,0.0
OAK,6,11,2,5,1,0,1.0
ARI,11,15,3,2,1,0,1.0
PIT,2,9,2,10,0,1,0.0
SEA,0,2,0,1,0,1,0.0
SDN,1,4,1,0,1,0,1.0
MIL,2,5,1,5,0,1,0.0
SLN,5,10,2,2,1,0,1.0
KCA,10,14,2,2,1,0,1.0
TBA,2,9,0,9,0,1,0.0
SFN,4,7,1,0,1,0,1.0
TOR,0,2,0,4,0,1,0.0
NYA,5,9,1,10,0,1,0.0
ANA,11,9,2,5,1,0,1.0
DET,3,7,1,7,0,1,0.0
BOS,7,10,1,3,1,0,1.0
LAN,2,4,0,1,1,0,1.0
CHN,1,7,1,2,0,1,0.0
ATL,2,11,1,4,0,1,0.0
CIN,4,5,0,2,1,0,1.0
CLE,2,4,2,1,1,0,1.0
HOU,1,4,1,2,0,1,0.0
MIA,3,12,1,1,1,0,1.0
PHI,1,4,1,3,0,1,0.0
ARI,5,9,0,0,1,0,1.0
PIT,0,5,0,5,0,1,0.0
TEX,2,9,0,13,0,1,0.0
SEA,14,14,1,0,1,0,1.0
CHN,3,8,2,8,0,1,0.0
ARI,8,11,0,3,1,0,1.0
COL,8,12,2,4,1,0,1.0
ATL,4,10,2,6,0,1,0.0
DET,11,15,5,12,0,1,0.0
CHA,12,21,4,11,1,0,1.0
CLE,6,9,4,3,1,0,1.0
HOU,3,9,0,6,0,1,0.0
ANA,5,10,2,1,1,0,1.0
KCA,1,5,0,5,0,1,0.0
PIT,2,9,1,6,0,1,0.0
LAN,6,9,2,2,1,0,1.0
BAL,1,8,0,5,0,1,0.0
MIN,6,10,5,1,1,0,1.0
MIL,10,10,0,2,1,0,1.0
NYN,2,7,0,10,0,1,0.0
MIA,0,5,0,4,0,1,0.0
PHI,4,6,3,0,1,0,1.0
TEX,4,6,2,5,0,1,0.0
SEA,5,6,1,3,1,0,1.0
NYA,7,15,1,3,1,0,1.0
SFN,3,5,0,7,0,1,0.0
CIN,12,14,5,1,1,0,1.0
SLN,1,8,0,12,0,1,0.0
OAK,2,5,1,4,0,1,0.0
TOR,4,8,2,2,1,0,1.0
SDN,4,6,2,3,1,0,1.0
WAS,3,6,2,3,0,1,0.0
CHN,9,12,3,1,1,0,1.0
ARI,1,2,1,9,0,1,0.0
COL,9,9,3,5,1,0,1.0
ATL,5,9,2,9,0,1,0.0
TBA,2,4,1,1,1,0,1.0
BOS,1,5,1,2,0,1,0.0
CLE,3,8,0,4,0,1,0.0
HOU,4,5,2,3,1,0,1.0
ANA,4,7,0,9,0,1,0.0
KCA,9,15,0,4,1,0,1.0
PIT,1,5,0,1,0,1,0.0
LAN,3,6,0,1,1,0,1.0
BAL,2,8,0,8,0,1,0.0
MIN,9,10,5,2,1,0,1.0
MIL,8,14,2,6,1,0,1.0
NYN,6,12,2,8,0,1,0.0
MIA,9,17,1,12,0,1,0.0
PHI,12,14,3,9,1,0,1.0
TEX,15,20,3,1,1,0,1.0
SEA,1,3,1,11,0,1,0.0
NYA,6,8,1,4,1,0,1.0
SFN,4,9,2,6,0,1,0.0
CIN,3,7,0,6,0,1,0.0
SLN,6,9,1,3,1,0,1.0
OAK,1,4,0,7,0,1,0.0
TOR,7,12,0,0,1,0,1.0
SDN,8,8,1,3,1,0,1.0
WAS,3,5,2,7,0,1,0.0
CHN,6,13,2,5,1,0,1.0
ARI,5,12,2,6,0,1,0.0
COL,7,9,2,8,0,1,0.0
ATL,8,10,4,6,1,0,1.0
TBA,5,5,1,2,1,0,1.0
BOS,2,7,1,2,0,1,0.0
DET,1,2,0,4,0,1,0.0
CHA,4,9,0,0,1,0,1.0
CLE,1,8,1,4,0,1,0.0
HOU,4,6,1,1,1,0,1.0
ANA,7,9,1,3,1,0,1.0
KCA,3,6,0,7,0,1,0.0
PIT,6,9,2,6,0,1,0.0
LAN,7,10,1,2,1,0,1.0
BAL,1,4,1,4,0,1,0.0
MIN,4,6,2,1,1,0,1.0
MIL,2,5,1,4,0,1,0.0
NYN,5,9,0,2,1,0,1.0
MIA,1,7,0,5,0,1,0.0
PHI,5,4,0,1,1,0,1.0
TEX,14,17,4,1,1,0,1.0
SEA,1,7,0,8,0,1,0.0
NYA,11,14,2,5,1,0,1.0
SFN,5,6,1,9,0,1,0.0
CIN,2,8,0,5,0,1,0.0
SLN,5,7,0,2,1,0,1.0
OAK,4,6,0,5,0,1,0.0
TOR,5,11,2,4,1,0,1.0
SDN,6,11,2,6,0,1,0.0
WAS,7,14,4,5,1,0,1.0
SDN,1,5,0,1,0,1,0.0
ATL,3,6,1,1,1,0,1.0
OAK,4,8,0,3,0,1,0.0
BOS,9,12,0,4,1,0,1.0
BAL,3,9,1,5,0,1,0.0
CHA,5,9,2,3,1,0,1.0
TBA,8,11,0,3,1,0,1.0
KCA,5,5,1,8,0,1,0.0
COL,1,4,0,5,0,1,0.0
MIL,5,8,2,0,1,0,1.0
HOU,0,5,0,1,0,1,0.0
MIN,1,3,1,0,1,0,1.0
CIN,5,9,1,4,1,0,1.0
NYN,4,6,0,5,0,1,0.0
LAN,2,9,0,3,0,1,0.0
SFN,3,11,0,2,1,0,1.0
SLN,6,9,1,3,1,0,1.0
WAS,3,4,0,6,0,1,0.0
TOR,3,5,1,4,0,1,0.0
ANA,4,7,2,3,1,0,1.0
NYA,1,5,0,3,0,1,0.0
ARI,3,7,1,1,1,0,1.0
SDN,4,6,3,3,1,0,1.0
ATL,3,8,0,4,0,1,0.0
OAK,1,3,1,4,0,1,0.0
BOS,5,7,2,1,1,0,1.0
CLE,7,9,2,4,1,0,1.0
MIA,4,5,1,5,0,1,0.0
COL,3,4,1,4,0,1,0.0
MIL,4,6,1,3,1,0,1.0
HOU,11,15,3,0,1,0,1.0
MIN,0,3,0,10,0,1,0.0
CIN,3,8,1,4,0,1,0.0
NYN,4,9,1,3,1,0,1.0
DET,3,7,1,1,1,0,1.0
PHI,1,4,0,3,0,1,0.0
CHN,6,10,3,3,1,0,1.0
SEA,5,8,1,6,0,1,0.0
LAN,10,10,3,3,1,0,1.0
SFN,3,6,0,10,0,1,0.0
PIT,6,14,2,3,1,0,1.0
TEX,4,7,1,5,0,1,0.0
SLN,3,7,0,2,1,0,1.0
WAS,2,7,2,3,0,1,0.0
TOR,3,6,2,4,0,1,0.0
ANA,6,8,0,3,1,0,1.0
NYA,2,7,1,3,0,1,0.0
ARI,3,5,1,2,1,0,1.0
SDN,1,5,1,5,0,1,0.0
ATL,5,8,1,1,1,0,1.0
OAK,3,7,0,7,0,1,0.0
BOS,7,9,2,3,1,0,1.0
BAL,5,11,0,1,1,0,1.0
CHA,4,7,0,5,0,1,0.0
BAL,6,11,2,6,0,1,0.0
CHA,7,9,1,5,1,0,1.0
TBA,2,8,0,3,0,1,0.0
KCA,3,4,1,2,1,0,1.0
TBA,2,7,2,8,0,1,0.0
KCA,8,11,1,2,1,0,1.0
CLE,2,6,2,4,0,1,0.0
MIA,4,10,0,2,1,0,1.0
COL,11,10,3,4,1,0,1.0
MIL,4,8,1,11,0,1,0.0
HOU,2,7,0,6,0,1,0.0
MIN,6,7,1,2,1,0,1.0
CIN,1,4,1,0,1,0,1.0
NYN,0,5,0,1,0,1,0.0
DET,3,12,1,7,0,1,0.0
PHI,7,15,1,3,1,0,1.0
CHN,11,10,3,0,1,0,1.0
SEA,0,1,0,8,0,1,0.0
LAN,1,6,0,2,0,1,0.0
SFN,2,7,0,1,1,0,1.0
PIT,7,8,0,4,1,0,1.0
TEX,5,7,3,7,0,1,0.0
SLN,5,11,0,1,1,0,1.0
WAS,1,9,0,5,0,1,0.0
TOR,2,6,0,5,0,1,0.0
ANA,6,11,2,2,1,0,1.0
SDN,11,17,2,2,1,0,1.0
ATL,2,10,0,7,0,1,0.0
BOS,4,8,1,5,0,1,0.0
CHA,6,9,2,4,1,0,1.0
TBA,3,7,1,1,1,0,1.0
KCA,1,5,0,3,0,1,0.0
COL,11,14,3,6,1,0,1.0
MIL,6,10,1,8,0,1,0.0
HOU,2,8,1,8,0,1,0.0
MIN,8,10,1,2,1,0,1.0
CIN,0,4,0,1,0,1,0.0
NYN,1,4,1,0,1,0,1.0
SLN,1,9,0,1,0,1,0.0
WAS,2,5,0,1,1,0,1.0
TBA,7,12,1,0,1,0,1.0
BAL,0,5,0,7,0,1,0.0
BOS,6,11,2,1,1,0,1.0
CHA,1,5,0,6,0,1,0.0
SLN,0,4,0,4,0,1,0.0
CHN,4,6,1,0,1,0,1.0
SFN,12,17,3,9,1,0,1.0
CIN,11,13,3,12,0,1,0.0
SEA,1,8,1,2,0,1,0.0
CLE,2,4,0,1,1,0,1.0
ARI,10,12,4,5,1,0,1.0
COL,9,10,2,9,0,1,0.0
KCA,3,7,1,4,0,1,0.0
DET,4,8,0,3,1,0,1.0
ATL,7,10,2,2,1,0,1.0
MIA,2,6,0,7,0,1,0.0
NYN,1,7,0,3,0,1,0.0
MIL,3,10,2,1,1,0,1.0
MIN,3,4,1,3,0,1,0.0
NYA,6,8,2,2,1,0,1.0
WAS,2,6,1,4,0,1,0.0
PHI,4,6,2,2,1,0,1.0
OAK,14,16,2,1,1,0,1.0
PIT,1,7,0,12,0,1,0.0
LAN,4,9,2,3,1,0,1.0
SDN,3,6,2,4,0,1,0.0
TOR,1,11,0,0,1,0,1.0
TEX,0,4,0,0,0,1,0.0
HOU,14,14,5,2,1,0,1.0
ANA,2,8,1,14,0,1,0.0
TBA,0,3,0,3,0,1,0.0
BAL,3,7,1,0,1,0,1.0
BOS,15,21,4,2,1,0,1.0
CHA,2,7,1,13,0,1,0.0
SLN,5,9,1,5,0,1,0.0
CHN,6,7,2,5,1,0,1.0
SFN,2,5,0,9,0,1,0.0
CIN,9,9,5,2,1,0,1.0
SEA,4,7,4,5,0,1,0.0
CLE,5,9,2,4,1,0,1.0
ARI,9,12,3,2,1,0,1.0
COL,2,5,0,9,0,1,0.0
KCA,15,19,2,3,1,0,1.0
DET,3,8,2,14,0,1,0.0
ATL,9,12,1,0,1,0,1.0
MIA,2,3,0,9,0,1,0.0
NYN,3,10,1,4,0,1,0.0
MIL,4,11,0,3,1,0,1.0
MIN,7,12,3,3,1,0,1.0
NYA,3,7,1,6,0,1,0.0
WAS,10,13,3,8,1,0,1.0
PHI,8,12,0,7,0,1,0.0
OAK,4,10,0,6,0,1,0.0
PIT,6,12,2,4,1,0,1.0
LAN,7,11,1,6,1,0,1.0
SDN,6,10,2,7,0,1,0.0
TOR,5,9,0,7,0,1,0.0
TEX,8,7,1,5,1,0,1.0
HOU,10,13,3,4,1,0,1.0
ANA,4,6,3,10,0,1,0.0
BOS,9,9,1,2,1,0,1.0
CHA,2,6,2,9,0,1,0.0
SLN,5,12,2,13,0,1,0.0
CHN,13,12,2,5,1,0,1.0
SFN,6,6,2,5,1,0,1.0
CIN,5,6,4,6,0,1,0.0
SEA,10,12,3,0,1,0,1.0
CLE,0,2,0,10,0,1,0.0
ARI,7,11,2,7,0,1,0.0
COL,8,10,0,7,1,0,1.0
KCA,2,7,1,5,0,1,0.0
DET,5,9,1,2,1,0,1.0
ATL,3,6,1,1,1,0,1.0
MIA,1,6,0,3,0,1,0.0
NYN,2,6,1,3,0,1,0.0
MIL,3,5,1,2,1,0,1.0
MIN,1,4,0,3,0,1,0.0
NYA,4,6,1,1,1,0,1.0
WAS,1,6,1,5,0,1,0.0
PHI,7,8,0,1,1,0,1.0
OAK,3,9,0,5,0,1,0.0
PIT,5,8,1,3,1,0,1.0
LAN,5,8,2,8,0,1,0.0
SDN,8,7,2,5,1,0,1.0
TOR,2,6,1,10,0,1,0.0
TEX,10,12,2,2,1,0,1.0
BOS,1,3,0,4,0,1,0.0
BAL,4,8,1,1,1,0,1.0
MIA,6,6,1,5,1,0,1.0
CHN,5,8,2,6,0,1,0.0
SFN,4,5,1,12,0,1,0.0
CIN,12,14,3,3,1,0,1.0
CHA,9,13,2,1,1,0,1.0
CLE,1,10,0,8,0,1,0.0
KCA,4,9,2,6,0,1,0.0
HOU,6,11,3,4,1,0,1.0
ATL,3,5,2,3,0,1,0.0
LAN,5,9,0,3,1,0,1.0
WAS,3,5,2,3,0,1,0.0
MIL,5,11,0,3,1,0,1.0
SEA,3,7,2,6,0,1,0.0
NYA,7,9,3,3,1,0,1.0
NYN,0,4,0,4,0,1,0.0
SDN,4,7,1,0,1,0,1.0
PHI,0,5,0,6,0,1,0.0
SLN,6,7,3,0,1,0,1.0
ARI,1,2,0,12,0,1,0.0
TBA,12,13,2,0,1,0,1.0
MIN,8,12,3,0,1,0,1.0
TOR,0,3,0,7,0,1,0.0
BOS,8,7,3,5,1,0,1.0
BAL,5,8,2,8,0,1,0.0
MIA,2,9,0,5,0,1,0.0
CHN,5,7,2,0,1,0,1.0
CHA,2,8,0,0,1,0,1.0
CLE,0,5,0,2,0,1,0.0
SFN,14,16,3,4,1,0,1.0
COL,4,10,2,14,0,1,0.0
ANA,5,9,0,2,1,0,1.0
DET,2,5,0,5,0,1,0.0
KCA,12,13,3,2,1,0,1.0
HOU,2,7,1,12,0,1,0.0
ATL,0,4,0,9,0,1,0.0
LAN,9,11,3,0,1,0,1.0
WAS,0,5,0,6,0,1,0.0
MIL,6,8,0,0,1,0,1.0
SEA,4,10,1,5,0,1,0.0
NYA,5,9,1,2,1,0,1.0
CIN,0,0,0,2,0,1,0.0
OAK,2,5,1,0,1,0,1.0
TEX,4,5,1,5,0,1,0.0
PIT,5,8,1,4,1,0,1.0
NYN,7,12,1,5,1,0,1.0
SDN,6,12,2,7,0,1,0.0
PHI,11,12,2,1,1,0,1.0
SLN,1,4,1,5,0,1,0.0
ARI,3,7,2,6,0,1,0.0
TBA,6,12,1,3,1,0,1.0
MIN,3,8,1,0,1,0,1.0
TOR,0,6,0,3,0,1,0.0
BOS,2,8,2,1,1,0,1.0
BAL,1,5,0,2,0,1,0.0
MIA,2,8,0,2,0,1,0.0
CHN,3,6,1,1,1,0,1.0
CHA,3,9,1,5,0,1,0.0
CLE,5,12,1,3,1,0,1.0
ANA,3,7,2,9,0,1,0.0
DET,10,10,1,3,1,0,1.0
KCA,0,3,0,9,0,1,0.0
HOU,9,11,4,0,1,0,1.0
ATL,4,11,1,9,0,1,0.0
LAN,9,9,3,4,1,0,1.0
WAS,3,8,0,4,0,1,0.0
MIL,7,11,3,3,1,0,1.0
SEA,10,14,3,1,1,0,1.0
NYA,1,5,0,10,0,1,0.0
CIN,4,8,0,4,0,1,0.0
OAK,5,11,2,4,1,0,1.0
TEX,9,9,3,6,1,0,1.0
PIT,6,10,2,9,0,1,0.0
NYN,2,7,1,3,0,1,0.0
SDN,3,5,2,2,1,0,1.0
PHI,5,7,1,0,1,0,1.0
SLN,0,3,0,4,0,1,0.0
ARI,3,9,0,1,1,0,1.0
TBA,2,8,0,3,0,1,0.0
MIN,9,18,4,1,1,0,1.0
TOR,1,2,1,9,0,1,0.0
ATL,2,5,1,3,0,1,0.0
ARI,3,11,1,2,1,0,1.0
MIA,1,4,0,4,0,1,0.0
CHN,4,8,2,1,1,0,1.0
CHA,0,2,0,5,0,1,0.0
CLE,5,9,2,0,1,0,1.0
SFN,11,9,2,12,0,1,0.0
COL,12,14,3,9,1,0,1.0
ANA,13,15,5,0,1,0,1.0
DET,0,5,0,13,0,1,0.0
TEX,2,3,1,4,0,1,0.0
HOU,4,9,1,2,1,0,1.0
WAS,6,9,1,0,1,0,1.0
LAN,0,6,0,3,0,1,0.0
SEA,1,2,1,3,0,1,0.0
NYA,3,9,0,1,1,0,1.0
CIN,3,8,2,0,1,0,1.0
OAK,0,6,0,3,0,1,0.0
PIT,4,10,1,16,0,1,0.0
SLN,17,16,0,4,1,0,1.0
ATL,2,7,1,1,1,0,1.0
ARI,1,4,0,2,0,1,0.0
ANA,8,12,1,3,1,0,1.0
BAL,3,5,2,8,0,1,0.0
SEA,1,8,0,13,0,1,0.0
BOS,14,15,3,1,1,0,1.0
MIL,7,8,1,0,1,0,1.0
CHN,0,7,0,6,0,1,0.0
SDN,2,12,0,12,0,1,0.0
COL,12,17,1,2,1,0,1.0
TEX,0,2,0,3,0,1,0.0
HOU,3,6,3,0,1,0,1.0
PHI,1,4,0,4,0,1,0.0
KCA,5,8,3,1,1,0,1.0
WAS,0,4,0,5,0,1,0.0
LAN,5,9,3,0,1,0,1.0
DET,0,3,0,6,0,1,0.0
MIN,6,7,2,0,1,0,1.0
MIA,2,10,0,11,0,1,0.0
NYN,11,15,3,2,1,0,1.0
CLE,3,10,0,4,0,1,0.0
OAK,4,10,2,3,1,0,1.0
CIN,7,9,0,0,1,0,1.0
SFN,0,4,0,3,0,1,0.0
PIT,2,9,1,1,1,0,1.0
SLN,1,10,0,2,0,1,0.0
NYA,4,7,0,3,1,0,1.0
TBA,3,8,2,3,0,1,0.0
CHA,3,6,1,4,0,1,0.0
TOR,4,4,2,3,1,0,1.0
ATL,6,13,2,4,1,0,1.0
ARI,4,8,2,6,0,1,0.0
ANA,7,10,2,2,1,0,1.0
BAL,2,9,1,7,0,1,0.0
SEA,5,6,2,9,0,1,0.0
BOS,9,10,2,5,1,0,1.0
MIL,1,4,1,2,0,1,0.0
CHN,2,9,1,1,1,0,1.0
SDN,4,9,2,3,1,0,1.0
COL,3,6,1,4,0,1,0.0
TEX,4,9,2,8,0,1,0.0
HOU,11,13,2,4,1,0,1.0
PHI,7,9,0,0,1,0,1.0
KCA,0,4,0,6,0,1,0.0
WAS,5,7,1,2,1,0,1.0
LAN,2,5,1,0,0,1,0.0
DET,5,10,4,3,1,0,1.0
MIN,3,7,2,5,0,1,0.0
DET,3,7,1,8,0,1,0.0
MIN,8,15,2,3,1,0,1.0
MIA,1,6,0,4,0,1,0.0
NYN,4,9,2,1,1,0,1.0
CLE,2,10,1,1,0,1,0.0
OAK,3,4,0,2,1,0,1.0
CIN,5,10,2,4,1,0,1.0
SFN,4,9,1,5,0,1,0.0
PIT,2,4,0,1,1,0,1.0
SLN,1,2,0,2,0,1,0.0
NYA,2,5,1,7,0,1,0.0
TBA,7,10,3,2,1,0,1.0
CHA,7,11,1,2,1,0,1.0
TOR,2,8,1,6,0,1,0.0
ATL,5,12,0,3,1,0,1.0
ARI,3,14,1,5,0,1,0.0
ANA,1,4,1,5,0,1,0.0
BAL,5,9,4,1,1,0,1.0
SEA,2,4,1,9,0,1,0.0
BOS,11,12,2,2,1,0,1.0
MIL,1,9,0,3,0,1,0.0
CHN,4,8,1,0,1,0,1.0
SDN,7,10,1,10,0,1,0.0
COL,10,13,3,7,1,0,1.0
TEX,5,9,2,10,0,1,0.0
HOU,15,18,4,5,1,0,1.0
PHI,6,8,0,1,1,0,1.0
KCA,1,6,0,5,0,1,0.0
WAS,0,1,0,6,0,1,0.0
LAN,6,7,1,0,1,0,1.0
DET,5,8,2,3,1,0,1.0
MIN,3,10,1,5,0,1,0.0
CLE,5,7,1,3,1,0,1.0
OAK,3,7,1,5,0,1,0.0
CIN,5,11,1,6,0,1,0.0
SFN,6,10,2,4,1,0,1.0
PIT,10,14,1,6,1,0,1.0
SLN,6,12,2,10,0,1,0.0
NYA,7,9,1,1,1,0,1.0
TBA,1,7,1,7,0,1,0.0
CHA,5,10,2,1,1,0,1.0
TOR,1,4,0,5,0,1,0.0
PIT,3,13,0,9,0,1,0.0
ARI,9,13,2,2,1,0,1.0
CLE,2,2,1,5,0,1,0.0
CHA,5,9,4,1,1,0,1.0
HOU,8,11,4,1,1,0,1.0
DET,1,5,0,8,0,1,0.0
ANA,5,15,2,4,1,0,1.0
MIN,4,7,2,5,0,1,0.0
MIL,4,12,1,6,0,1,0.0
PHI,7,11,1,4,1,0,1.0
OAK,5,10,5,6,0,1,0.0
SEA,6,7,2,5,1,0,1.0
PIT,6,11,3,2,1,0,1.0
ARI,2,4,1,6,0,1,0.0
SLN,14,14,4,3,1,0,1.0
ATL,3,3,0,14,0,1,0.0
COL,5,6,2,3,1,0,1.0
BOS,4,9,3,5,0,1,0.0
CLE,9,11,5,0,1,0,1.0
CHA,0,7,0,8,0,1,0.0
CHN,3,11,0,1,1,0,1.0
CIN,1,3,1,3,0,1,0.0
HOU,11,14,3,4,1,0,1.0
DET,4,7,1,10,0,1,0.0
TEX,5,10,0,11,0,1,0.0
KCA,11,14,0,5,1,0,1.0
SDN,3,7,2,3,0,1,0.0
LAN,6,8,2,3,1,0,1.0
TBA,4,8,1,0,1,0,1.0
MIA,0,6,0,4,0,1,0.0
ANA,3,11,0,4,0,1,0.0
MIN,4,7,1,3,1,0,1.0
MIL,6,12,2,0,1,0,1.0
PHI,1,5,0,6,0,1,0.0
OAK,3,6,0,4,0,1,0.0
SEA,4,7,3,1,1,0,1.0
TOR,7,10,2,3,1,0,1.0
SFN,3,5,1,7,0,1,0.0
NYN,6,8,2,2,1,0,1.0
WAS,2,5,1,6,0,1,0.0
PIT,1,6,0,10,0,1,0.0
ARI,11,11,3,1,1,0,1.0
SLN,0,3,0,3,0,1,0.0
ATL,4,6,2,0,1,0,1.0
COL,5,11,0,6,0,1,0.0
BOS,6,13,1,5,1,0,1.0
CHN,5,9,3,6,0,1,0.0
CIN,6,12,2,4,1,0,1.0
HOU,5,8,1,1,1,0,1.0
DET,1,2,1,4,0,1,0.0
TEX,6,12,3,1,1,0,1.0
KCA,1,9,0,6,0,1,0.0
SDN,0,4,0,2,0,1,0.0
LAN,2,8,0,0,1,0,1.0
TBA,1,7,0,0,1,0,1.0
MIA,0,7,0,1,0,1,0.0
ANA,7,18,2,8,0,1,0.0
MIN,8,10,2,7,1,0,1.0
BAL,3,7,2,4,0,1,0.0
NYA,5,7,4,3,1,0,1.0
BAL,1,7,0,3,0,1,0.0
NYA,3,7,1,1,1,0,1.0
MIL,5,7,0,2,1,0,1.0
PHI,2,9,1,4,0,1,0.0
TOR,3,5,0,3,0,1,0.0
SFN,4,8,2,2,1,0,1.0
NYN,1,4,0,5,0,1,0.0
WAS,5,9,1,1,1,0,1.0
SLN,2,6,2,10,0,1,0.0
ATL,10,14,1,2,1,0,1.0
TOR,2,2,1,3,0,1,0.0
CHA,4,10,0,1,1,0,1.0
CHN,2,4,0,4,0,1,0.0
CIN,4,12,1,2,1,0,1.0
BAL,7,10,2,14,0,1,0.0
CLE,14,14,2,7,1,0,1.0
OAK,17,16,5,3,1,0,1.0
DET,3,7,1,12,0,1,0.0
TEX,16,21,5,1,1,0,1.0
KCA,1,9,0,15,0,1,0.0
MIL,11,13,4,1,1,0,1.0
PHI,3,4,1,11,0,1,0.0
PIT,3,8,1,4,0,1,0.0
SDN,4,5,2,2,1,0,1.0
MIN,11,16,4,6,1,0,1.0
SEA,6,8,4,10,0,1,0.0
NYN,6,11,1,7,0,1,0.0
WAS,7,12,1,6,1,0,1.0
KCA,2,6,0,5,0,1,0.0
ANA,5,10,0,2,1,0,1.0
SFN,0,9,0,7,0,1,0.0
ARI,7,10,1,0,1,0,1.0
MIL,8,10,1,12,0,1,0.0
ATL,12,17,4,4,1,0,1.0
HOU,3,6,1,1,1,0,1.0
BOS,1,9,0,2,0,1,0.0
TOR,10,15,3,2,1,0,1.0
CHA,2,6,0,9,0,1,0.0
LAN,6,10,4,0,1,0,1.0
CIN,0,3,0,6,0,1,0.0
BAL,5,10,2,0,1,0,1.0
CLE,1,3,0,5,0,1,0.0
OAK,7,9,2,2,1,0,1.0
DET,2,4,0,7,0,1,0.0
NYN,6,12,3,7,0,1,0.0
MIA,8,10,1,6,1,0,1.0
TBA,3,10,1,4,0,1,0.0
NYA,4,9,2,2,1,0,1.0
COL,4,5,1,5,0,1,0.0
PHI,5,8,1,3,1,0,1.0
PIT,5,9,1,3,1,0,1.0
SDN,3,7,2,5,0,1,0.0
MIN,7,10,1,1,1,0,1.0
SEA,1,5,0,6,0,1,0.0
SLN,3,9,1,7,0,1,0.0
TEX,7,11,2,2,1,0,1.0
CHN,14,18,6,6,1,0,1.0
WAS,6,13,1,14,0,1,0.0
KCA,3,8,0,5,0,1,0.0
ANA,6,7,2,3,1,0,1.0
SFN,8,11,2,5,1,0,1.0
ARI,5,6,2,8,0,1,0.0
MIL,3,8,0,3,0,1,0.0
ATL,4,8,2,3,1,0,1.0
HOU,7,13,1,2,1,0,1.0
BOS,3,5,1,7,0,1,0.0
TOR,1,3,0,4,0,1,0.0
CHA,4,7,1,1,1,0,1.0
LAN,0,6,0,1,0,1,0.0
CIN,4,7,1,0,1,0,1.0
BAL,1,1,1,4,0,1,0.0
CLE,4,7,2,1,1,0,1.0
OAK,4,8,2,1,1,0,1.0
DET,1,5,0,4,0,1,0.0
NYN,0,1,0,2,0,1,0.0
MIA,2,5,1,0,1,0,1.0
TBA,2,6,2,1,1,0,1.0
NYA,1,8,0,2,0,1,0.0
COL,1,9,0,1,0,1,0.0
PHI,2,6,1,1,1,0,1.0
PIT,7,12,4,2,1,0,1.0
SDN,2,8,0,7,0,1,0.0
MIN,18,19,6,4,1,0,1.0
SEA,4,10,0,17,0,1,0.0
SLN,8,10,1,2,1,0,1.0
TEX,2,6,0,5,0,1,0.0
CHN,2,4,1,5,0,1,0.0
WAS,5,11,1,1,1,0,1.0
KCA,5,9,0,1,1,0,1.0
ANA,1,6,0,4,0,1,0.0
SFN,3,5,1,2,1,0,1.0
ARI,2,3,0,3,0,1,0.0
MIL,3,9,3,2,1,0,1.0
ATL,2,5,2,3,0,1,0.0
HOU,3,4,1,3,0,1,0.0
BOS,4,11,1,3,1,0,1.0
TOR,5,8,3,2,1,0,1.0
CHA,2,7,0,4,0,1,0.0
LAN,8,6,2,3,1,0,1.0
CIN,3,9,2,8,0,1,0.0
BAL,0,5,0,7,0,1,0.0
CLE,10,11,1,0,1,0,1.0
OAK,7,12,1,3,1,0,1.0
DET,3,5,1,7,0,1,0.0
NYN,0,2,0,3,0,1,0.0
MIA,3,6,1,0,1,0,1.0
TBA,5,7,3,4,0,1,0.0
NYA,13,10,3,5,1,0,1.0
COL,5,7,4,7,0,1,0.0
PHI,7,9,2,5,1,0,1.0
PIT,6,11,1,3,1,0,1.0
SDN,4,5,1,6,0,1,0.0
MIN,4,7,0,7,0,1,0.0
SEA,7,11,3,2,1,0,1.0
SLN,4,7,1,5,0,1,0.0
TEX,5,9,2,4,1,0,1.0
CHN,6,9,1,5,1,0,1.0
WAS,5,9,2,5,0,1,0.0
MIN,3,10,1,1,1,0,1.0
ANA,1,6,0,3,0,1,0.0
NYA,10,11,3,7,1,0,1.0
BAL,7,13,2,9,0,1,0.0
PHI,5,9,1,3,1,0,1.0
CHN,4,11,0,5,0,1,0.0
OAK,6,11,3,4,1,0,1.0
CLE,4,8,2,6,0,1,0.0
CHA,0,6,0,2,0,1,0.0
HOU,3,8,2,0,1,0,1.0
WAS,3,7,1,4,0,1,0.0
NYN,5,8,2,3,1,0,1.0
ARI,1,5,0,2,0,1,0.0
SDN,2,6,1,1,1,0,1.0
ATL,4,6,3,1,1,0,1.0
SFN,1,2,1,4,0,1,0.0
SEA,9,13,2,10,0,1,0.0
