team,b_r,b_h,b_hr,p_er,win,loss,win_percentage
ATL,6,8,2,4,1,0,1.0
MIL,1,2,0,0,1,0,1.0
CIN,0,3,0,1,0,1,0.0
CHA,8,13,1,2,1,0,1.0
CLE,3,5,1,6,0,1,0.0
MIN,7,11,0,5,1,0,1.0
KCA,6,9,1,7,0,1,0.0
SFN,3,6,2,5,0,1,0.0
LAN,5,7,1,3,1,0,1.0
NYN,6,10,1,4,1,0,1.0
MIA,4,7,0,4,0,1,0.0
DET,2,3,1,1,1,0,1.0
NYA,1,5,0,2,0,1,0.0
BOS,6,9,1,3,1,0,1.0
OAK,3,5,1,5,0,1,0.0
SLN,5,7,2,4,1,0,1.0
PIT,4,8,1,5,0,1,0.0
ARI,1,7,0,4,0,1,0.0
SDN,4,5,1,1,1,0,1.0
COL,1,5,1,0,1,0,1.0
TBA,0,6,0,1,0,1,0.0
HOU,0,6,0,4,0,1,0.0
TEX,4,5,1,0,1,0,1.0
BAL,3,6,1,4,0,1,0.0
TOR,5,10,2,3,1,0,1.0
PHI,8,10,0,8,0,1,0.0
WAS,9,12,3,8,1,0,1.0
TEX,11,15,2,3,1,0,1.0
ANA,4,8,2,11,0,1,0.0
CHN,4,6,2,8,0,1,0.0
ATL,9,13,0,4,1,0,1.0
NYA,8,12,4,4,1,0,1.0
BAL,4,10,1,8,0,1,0.0
TOR,1,3,0,3,0,1,0.0
CLE,4,7,0,1,1,0,1.0
KCA,4,8,1,5,0,1,0.0
DET,5,6,0,3,1,0,1.0
WAS,4,5,1,0,1,0,1.0
NYN,0,4,0,4,0,1,0.0
BOS,3,10,1,7,0,1,0.0
OAK,7,13,1,3,1,0,1.0
CIN,0,6,0,2,0,1,0.0
PIT,2,10,0,0,1,0,1.0
TEX,1,6,1,3,0,1,0.0
ANA,3,6,2,1,1,0,1.0
BOS,8,12,2,15,0,1,0.0
ARI,15,18,5,8,1,0,1.0
MIA,0,3,0,4,0,1,0.0
ATL,4,7,2,0,1,0,1.0
SEA,8,9,4,8,0,1,0.0
CHA,10,9,1,8,1,0,1.0
TOR,2,3,1,3,0,1,0.0
CLE,3,4,2,2,1,0,1.0
LAN,10,13,3,6,1,0,1.0
COL,6,10,3,9,0,1,0.0
OAK,2,7,0,3,0,1,0.0
HOU,3,9,1,2,1,0,1.0
CHN,10,12,3,13,0,1,0.0
MIL,13,15,5,10,1,0,1.0
MIN,4,11,2,8,0,1,0.0
PHI,10,11,0,3,1,0,1.0
CIN,0,3,0,2,0,1,0.0
PIT,2,5,0,0,1,0,1.0
TBA,5,11,2,2,1,0,1.0
SFN,2,8,0,5,0,1,0.0
SDN,5,9,2,3,1,0,1.0
SLN,3,4,2,5,0,1,0.0
TEX,1,6,0,5,0,1,0.0
ANA,5,10,2,1,1,0,1.0
BOS,4,6,0,5,0,1,0.0
ARI,5,11,0,4,1,0,1.0
MIA,4,8,3,2,1,0,1.0
ATL,2,6,0,4,0,1,0.0
NYA,6,11,3,4,1,0,1.0
BAL,4,8,1,6,0,1,0.0
SEA,9,14,3,2,1,0,1.0
CHA,2,10,2,9,0,1,0.0
TOR,2,10,1,6,0,1,0.0
CLE,7,8,0,2,1,0,1.0
LAN,7,11,1,2,1,0,1.0
COL,2,6,1,7,0,1,0.0
KCA,4,6,3,6,0,1,0.0
DET,7,10,1,4,1,0,1.0
OAK,0,6,0,6,0,1,0.0
HOU,6,11,3,0,1,0,1.0
CHN,14,12,4,8,1,0,1.0
MIL,8,10,3,14,0,1,0.0
WAS,5,7,2,6,0,1,0.0
NYN,6,11,5,4,1,0,1.0
MIN,6,7,3,2,1,0,1.0
PHI,2,7,1,6,0,1,0.0
CIN,5,8,2,6,0,1,0.0
PIT,6,12,1,4,1,0,1.0
TBA,4,9,0,6,0,1,0.0
SFN,6,8,1,4,1,0,1.0
SDN,6,9,3,3,1,0,1.0
SLN,4,9,1,4,0,1,0.0
TEX,2,6,1,7,0,1,0.0
ANA,7,9,2,2,1,0,1.0
BOS,1,5,1,0,1,0,1.0
ARI,0,3,0,1,0,1,0.0
MIA,3,7,1,4,0,1,0.0
ATL,4,7,2,3,1,0,1.0
NYA,15,15,7,3,1,0,1.0
BAL,3,5,0,15,0,1,0.0
SEA,12,12,3,5,1,0,1.0
CHA,5,10,1,12,0,1,0.0
TOR,1,3,0,3,0,1,0.0
CLE,3,6,0,1,1,0,1.0
LAN,12,12,2,6,1,0,1.0
COL,6,10,0,10,0,1,0.0
KCA,1,7,0,3,0,1,0.0
DET,3,5,0,1,1,0,1.0
OAK,8,11,3,9,0,1,0.0
HOU,9,14,2,8,1,0,1.0
CHN,2,6,1,4,0,1,0.0
MIL,4,10,1,0,1,0,1.0
WAS,12,8,1,9,1,0,1.0
NYN,9,11,2,12,0,1,0.0
MIN,1,7,1,2,0,1,0.0
PHI,2,4,1,1,1,0,1.0
CIN,5,7,3,7,0,1,0.0
PIT,7,12,2,5,1,0,1.0
TBA,3,10,1,0,1,0,1.0
SFN,0,5,0,3,0,1,0.0
SDN,1,6,0,3,0,1,0.0
SLN,4,10,0,1,1,0,1.0
MIL,2,6,1,5,0,1,0.0
ANA,5,5,3,2,1,0,1.0
OAK,4,11,2,12,0,1,0.0
BAL,12,15,2,3,1,0,1.0
TBA,5,11,0,1,1,0,1.0
CHA,1,9,1,5,0,1,0.0
PIT,0,7,0,4,0,1,0.0
CHN,10,8,1,0,1,0,1.0
ATL,8,9,1,6,1,0,1.0
COL,6,8,2,8,0,1,0.0
NYA,3,8,1,4,0,1,0.0
HOU,4,7,1,3,1,0,1.0
SEA,13,15,5,5,1,0,1.0
KCA,5,10,0,13,0,1,0.0
WAS,3,7,2,4,0,1,0.0
PHI,4,10,3,3,1,0,1.0
SDN,6,7,3,5,1,0,1.0
SFN,5,5,1,6,0,1,0.0
LAN,3,5,0,4,0,1,0.0
SLN,4,5,1,3,1,0,1.0
MIL,8,10,3,11,0,1,0.0
ANA,11,12,2,8,1,0,1.0
TEX,4,8,0,5,0,1,0.0
ARI,5,9,3,3,1,0,1.0
OAK,13,14,2,2,1,0,1.0
BAL,2,7,0,9,0,1,0.0
TOR,7,10,0,3,1,0,1.0
BOS,5,8,2,7,0,1,0.0
TBA,10,13,3,5,1,0,1.0
CHA,5,7,1,10,0,1,0.0
MIA,0,4,0,14,0,1,0.0
CIN,14,16,5,0,1,0,1.0
ATL,7,12,2,0,1,0,1.0
COL,1,6,0,7,0,1,0.0
CLE,8,8,4,1,1,0,1.0
DET,2,8,0,6,0,1,0.0
NYA,3,5,1,6,0,1,0.0
HOU,6,11,1,3,1,0,1.0
SEA,6,15,1,2,1,0,1.0
KCA,3,8,0,6,0,1,0.0
MIN,14,17,6,8,1,0,1.0
NYN,8,11,4,11,0,1,0.0
WAS,10,14,4,6,1,0,1.0
PHI,6,9,2,9,0,1,0.0
SDN,2,7,1,7,0,1,0.0
SFN,7,7,0,2,1,0,1.0
LAN,0,7,0,4,0,1,0.0
SLN,4,6,1,0,1,0,1.0
MIL,2,7,0,4,0,1,0.0
ANA,4,5,0,1,1,0,1.0
TEX,5,8,1,2,1,0,1.0
ARI,2,6,0,5,0,1,0.0
OAK,10,13,5,3,1,0,1.0
BAL,3,4,2,10,0,1,0.0
TBA,9,14,3,1,1,0,1.0
CHA,1,6,0,9,0,1,0.0
PIT,5,9,2,2,1,0,1.0
CHN,2,6,1,4,0,1,0.0
MIA,1,3,1,2,0,1,0.0
CIN,2,3,2,1,1,0,1.0
CLE,1,5,0,4,0,1,0.0
DET,4,12,2,1,1,0,1.0
NYA,6,10,2,8,0,1,0.0
HOU,8,16,3,6,1,0,1.0
SEA,6,11,1,5,1,0,1.0
KCA,5,10,2,6,0,1,0.0
MIN,6,9,1,9,0,1,0.0
NYN,9,5,0,6,1,0,1.0
WAS,15,17,0,1,1,0,1.0
PHI,1,3,0,13,0,1,0.0
SDN,3,6,1,1,1,0,1.0
SFN,1,7,1,3,0,1,0.0
LAN,2,5,2,7,0,1,0.0
SLN,7,10,2,2,1,0,1.0
SDN,7,8,3,2,1,0,1.0
ARI,6,8,1,7,0,1,0.0
NYN,6,7,2,3,1,0,1.0
ATL,3,9,2,6,0,1,0.0
OAK,8,11,5,5,1,0,1.0
BAL,5,4,1,7,0,1,0.0
TOR,6,8,3,4,0,1,0.0
BOS,7,8,1,6,1,0,1.0
PIT,0,5,0,0,0,1,0.0
CHN,2,5,0,0,1,0,1.0
MIA,0,5,0,5,0,1,0.0
CIN,5,10,1,0,1,0,1.0
CLE,4,11,1,0,1,0,1.0
DET,0,3,0,4,0,1,0.0
SEA,7,12,2,6,1,0,1.0
KCA,6,8,3,7,0,1,0.0
COL,0,3,0,1,0,1,0.0
SFN,1,6,1,0,1,0,1.0
LAN,7,10,3,9,0,1,0.0
SLN,11,10,0,7,1,0,1.0
SDN,2,5,1,1,1,0,1.0
ARI,1,3,0,2,0,1,0.0
NYN,6,10,1,2,1,0,1.0
ATL,2,7,0,6,0,1,0.0
BAL,4,4,2,6,0,1,0.0
BOS,6,11,1,4,1,0,1.0
ANA,1,4,1,5,0,1,0.0
CHN,5,10,4,1,1,0,1.0
CLE,1,4,1,7,0,1,0.0
KCA,8,13,1,1,1,0,1.0
MIL,8,12,2,5,1,0,1.0
LAN,5,12,3,7,0,1,0.0
PHI,9,14,1,1,1,0,1.0
MIA,1,5,0,9,0,1,0.0
CHA,9,12,4,4,1,0,1.0
NYA,6,7,1,9,0,1,0.0
HOU,10,16,3,5,1,0,1.0
SEA,6,9,1,10,0,1,0.0
COL,2,11,0,3,0,1,0.0
SFN,3,8,0,2,1,0,1.0
OAK,8,11,2,6,1,0,1.0
TEX,6,10,2,8,0,1,0.0
TBA,11,16,5,6,1,0,1.0
TOR,7,9,1,11,0,1,0.0
PIT,6,10,2,3,1,0,1.0
WAS,3,7,2,5,0,1,0.0
SDN,5,10,2,4,1,0,1.0
ARI,4,10,0,5,0,1,0.0
NYN,7,11,0,11,0,1,0.0
ATL,11,13,2,6,1,0,1.0
BAL,9,13,0,5,1,0,1.0
BOS,5,6,1,7,0,1,0.0
ANA,6,9,0,5,1,0,1.0
CHN,5,9,0,5,0,1,0.0
SLN,2,9,1,5,0,1,0.0
CIN,5,6,2,2,1,0,1.0
CLE,0,2,0,3,0,1,0.0
KCA,3,7,1,0,1,0,1.0
MIL,4,9,2,1,1,0,1.0
LAN,1,8,1,4,0,1,0.0
PHI,3,6,0,10,0,1,0.0
MIA,10,18,3,3,1,0,1.0
DET,3,10,1,4,0,1,0.0
MIN,4,5,0,3,1,0,1.0
CHA,0,1,0,2,0,1,0.0
NYA,4,7,1,0,1,0,1.0
HOU,3,6,2,1,1,0,1.0
SEA,1,4,1,3,0,1,0.0
COL,2,6,1,5,0,1,0.0
SFN,5,11,1,2,1,0,1.0
TBA,1,8,0,3,0,1,0.0
TOR,3,5,0,1,1,0,1.0
PIT,2,8,1,3,0,1,0.0
WAS,3,6,2,2,1,0,1.0
SDN,4,7,2,8,0,1,0.0
ARI,8,13,3,4,1,0,1.0
NYN,3,11,1,7,0,1,0.0
ATL,7,10,3,3,1,0,1.0
BAL,0,5,0,4,0,1,0.0
BOS,4,7,1,0,1,0,1.0
SLN,9,11,4,4,1,0,1.0
CIN,5,10,2,9,0,1,0.0
CLE,8,11,1,9,0,1,0.0
KCA,9,11,3,8,1,0,1.0
MIL,1,4,0,7,0,1,0.0
LAN,7,11,2,1,1,0,1.0
PHI,3,12,2,1,1,0,1.0
MIA,1,5,1,3,0,1,0.0
DET,4,8,1,6,0,1,0.0
MIN,6,14,2,4,1,0,1.0
CHA,5,9,1,2,1,0,1.0
NYA,2,4,0,5,0,1,0.0
HOU,3,7,1,2,1,0,1.0
SEA,2,4,1,3,0,1,0.0
COL,4,5,1,0,1,0,1.0
SFN,0,1,0,4,0,1,0.0
OAK,7,10,2,7,0,1,0.0
TEX,8,8,1,7,1,0,1.0
TBA,8,9,1,4,1,0,1.0
TOR,4,8,2,5,0,1,0.0
PIT,4,8,0,3,1,0,1.0
WAS,3,11,0,4,0,1,0.0
BAL,8,10,2,1,1,0,1.0
BOS,1,4,0,8,0,1,0.0
KCA,4,6,2,5,0,1,0.0
CHA,5,9,1,4,1,0,1.0
CIN,3,7,1,4,0,1,0.0
LAN,4,5,1,3,1,0,1.0
CHN,7,8,1,2,1,0,1.0
MIA,2,6,1,7,0,1,0.0
SLN,7,8,3,10,0,1,0.0
MIL,10,13,4,7,1,0,1.0
TOR,5,11,1,3,1,0,1.0
MIN,3,5,1,5,0,1,0.0
NYN,7,12,1,6,1,0,1.0
PHI,6,12,1,6,0,1,0.0
COL,5,8,2,2,1,0,1.0
SDN,2,8,2,5,0,1,0.0
CLE,6,7,1,4,1,0,1.0
SEA,4,8,2,5,0,1,0.0
ANA,7,8,2,11,0,1,0.0
TEX,12,14,3,7,1,0,1.0
ARI,9,12,1,6,1,0,1.0
ATL,6,10,2,9,0,1,0.0
KCA,1,5,1,5,0,1,0.0
CHA,5,9,4,1,1,0,1.0
PIT,5,8,2,3,1,0,1.0
DET,3,9,0,5,0,1,0.0
CIN,1,4,0,6,0,1,0.0
LAN,6,13,1,1,1,0,1.0
CHN,4,9,1,0,1,0,1.0
MIA,0,7,0,4,0,1,0.0
SLN,4,11,1,8,0,1,0.0
MIL,8,12,3,4,1,0,1.0
TOR,6,9,0,5,1,0,1.0
MIN,5,6,3,6,0,1,0.0
BOS,0,3,0,8,0,1,0.0
NYA,8,11,3,0,1,0,1.0
HOU,9,9,3,1,1,0,1.0
OAK,1,4,0,9,0,1,0.0
NYN,3,10,2,9,0,1,0.0
PHI,14,13,3,3,1,0,1.0
COL,8,12,2,2,1,0,1.0
SDN,2,5,1,8,0,1,0.0
CLE,4,13,0,2,1,0,1.0
SEA,2,6,1,4,0,1,0.0
BAL,2,7,0,4,0,1,0.0
TBA,4,6,1,2,1,0,1.0
ANA,0,3,0,5,0,1,0.0
TEX,5,9,2,0,1,0,1.0
SFN,7,10,3,3,1,0,1.0
WAS,3,8,1,7,0,1,0.0
ARI,3,6,1,2,1,0,1.0
ATL,2,7,0,2,0,1,0.0
KCA,4,7,1,3,1,0,1.0
CHA,3,9,1,2,0,1,0.0
PIT,3,6,0,2,1,0,1.0
DET,2,7,0,2,0,1,0.0
CIN,2,3,0,3,0,1,0.0
LAN,3,3,1,0,1,0,1.0
CHN,6,8,1,0,1,0,1.0
MIA,0,5,0,6,0,1,0.0
SLN,6,15,2,3,1,0,1.0
MIL,3,7,1,6,0,1,0.0
TOR,1,8,0,4,0,1,0.0
MIN,4,9,0,1,1,0,1.0
BOS,3,8,2,4,0,1,0.0
NYA,5,5,1,3,1,0,1.0
HOU,1,4,0,2,0,1,0.0
OAK,2,4,1,1,1,0,1.0
NYN,2,7,1,3,0,1,0.0
PHI,3,5,2,2,1,0,1.0
CLE,1,3,1,0,1,0,1.0
SEA,0,3,0,1,0,1,0.0
BAL,1,3,1,8,0,1,0.0
TBA,8,13,3,1,1,0,1.0
ANA,4,10,1,4,0,1,0.0
TEX,5,6,0,4,1,0,1.0
SFN,6,10,2,9,0,1,0.0
WAS,9,11,4,6,1,0,1.0
SEA,11,13,3,10,1,0,1.0
ANA,10,16,2,11,0,1,0.0
ARI,4,10,1,1,1,0,1.0
ATL,1,7,1,3,0,1,0.0
PHI,2,5,1,5,0,1,0.0
COL,6,11,2,2,1,0,1.0
CHA,7,10,3,9,0,1,0.0
DET,9,14,0,4,1,0,1.0
LAN,3,6,2,1,1,0,1.0
MIL,1,5,1,3,0,1,0.0
TOR,7,9,3,4,1,0,1.0
MIN,4,8,2,7,0,1,0.0
KCA,6,11,2,1,1,0,1.0
NYA,1,4,0,6,0,1,0.0
CIN,4,5,3,1,1,0,1.0
SDN,1,6,0,4,0,1,0.0
BAL,6,15,1,5,1,0,1.0
TBA,5,9,2,6,0,1,0.0
SFN,2,5,0,4,0,1,0.0
WAS,4,8,1,2,1,0,1.0
SEA,5,6,4,3,1,0,1.0
ANA,3,9,1,5,0,1,0.0
ARI,1,7,0,5,0,1,0.0
CHN,5,8,0,1,1,0,1.0
PHI,3,17,0,4,0,1,0.0
COL,4,8,2,3,1,0,1.0
CHA,7,11,1,3,1,0,1.0
DET,3,7,3,7,0,1,0.0
WAS,2,6,1,3,0,1,0.0
MIA,3,6,0,2,1,0,1.0
LAN,5,7,1,3,1,0,1.0
MIL,3,7,2,5,0,1,0.0
KCA,2,5,0,5,0,1,0.0
NYA,6,8,2,1,1,0,1.0
TOR,5,7,1,1,1,0,1.0
OAK,1,6,0,5,0,1,0.0
SFN,1,7,0,4,0,1,0.0
PIT,4,6,0,1,1,0,1.0
CIN,3,4,2,2,1,0,1.0
SDN,2,4,1,2,0,1,0.0
NYN,5,11,1,3,1,0,1.0
SLN,4,10,2,4,0,1,0.0
BOS,6,10,3,3,1,0,1.0
TBA,4,7,1,6,0,1,0.0
HOU,7,11,2,2,1,0,1.0
TEX,2,4,2,7,0,1,0.0
SEA,6,9,4,5,1,0,1.0
ANA,5,13,1,6,0,1,0.0
MIN,6,9,3,5,1,0,1.0
BAL,5,13,3,6,0,1,0.0
MIN,16,19,8,7,1,0,1.0
BAL,7,11,3,16,0,1,0.0
ARI,6,13,3,0,1,0,1.0
CHN,0,4,0,5,0,1,0.0
ATL,4,6,2,7,0,1,0.0
CLE,8,10,1,4,1,0,1.0
ATL,8,9,1,7,1,0,1.0
CLE,7,9,0,8,0,1,0.0
PHI,8,14,2,5,1,0,1.0
COL,5,14,2,8,0,1,0.0
WAS,3,10,0,8,0,1,0.0
MIA,9,11,1,2,1,0,1.0
LAN,0,2,0,5,0,1,0.0
MIL,5,8,3,0,1,0,1.0
KCA,2,6,2,9,0,1,0.0
NYA,9,14,4,2,1,0,1.0
TOR,10,15,3,1,1,0,1.0
OAK,1,6,0,10,0,1,0.0
SFN,1,4,0,3,0,1,0.0
PIT,3,4,2,1,1,0,1.0
CIN,4,7,1,2,1,0,1.0
SDN,2,7,1,3,0,1,0.0
NYN,2,4,0,9,0,1,0.0
SLN,10,10,1,2,1,0,1.0
BOS,6,8,1,5,1,0,1.0
TBA,5,11,2,6,0,1,0.0
HOU,4,11,2,8,0,1,0.0
TEX,9,10,1,4,1,0,1.0
SEA,6,10,3,7,0,1,0.0
ANA,8,11,4,6,1,0,1.0
MIN,4,9,0,3,1,0,1.0
BAL,3,9,0,2,0,1,0.0
ARI,1,3,1,1,0,1,0.0
CHN,2,6,0,1,1,0,1.0
ATL,11,17,2,4,1,0,1.0
CLE,5,12,2,8,0,1,0.0
PHI,1,6,0,4,0,1,0.0
COL,4,10,0,1,1,0,1.0
CHA,3,6,0,3,0,1,0.0
DET,4,9,1,3,1,0,1.0
WAS,5,9,3,0,1,0,1.0
MIA,0,3,0,5,0,1,0.0
LAN,6,10,3,5,1,0,1.0
MIL,5,6,2,6,0,1,0.0
KCA,6,10,2,6,0,1,0.0
NYA,7,12,1,6,1,0,1.0
TOR,5,13,1,4,1,0,1.0
OAK,4,7,0,4,0,1,0.0
SFN,3,9,1,2,1,0,1.0
PIT,2,5,1,3,0,1,0.0
CIN,3,9,2,4,0,1,0.0
SDN,4,9,1,3,1,0,1.0
NYN,4,7,4,4,0,1,0.0
SLN,6,8,0,4,1,0,1.0
BOS,4,8,1,3,1,0,1.0
TBA,3,7,1,4,0,1,0.0
HOU,10,11,5,10,0,1,0.0
TEX,11,10,2,8,1,0,1.0
NYA,4,5,1,3,1,0,1.0
ANA,3,7,1,3,0,1,0.0
CHA,12,15,2,2,1,0,1.0
BAL,2,9,1,10,0,1,0.0
WAS,5,6,1,7,0,1,0.0
COL,7,11,3,5,1,0,1.0
MIN,9,12,2,5,1,0,1.0
HOU,5,11,2,8,0,1,0.0
PHI,1,3,1,3,0,1,0.0
NYN,5,9,1,1,1,0,1.0
TEX,1,6,0,5,0,1,0.0
OAK,6,7,1,1,1,0,1.0
ARI,12,17,2,4,1,0,1.0
PIT,4,9,0,12,0,1,0.0
MIL,5,5,4,11,0,1,0.0
SLN,13,17,2,5,1,0,1.0
KCA,3,6,3,6,0,1,0.0
TBA,6,8,2,3,1,0,1.0
NYA,7,14,3,4,1,0,1.0
ANA,5,8,1,7,0,1,0.0
CHA,1,6,0,9,0,1,0.0
BAL,9,11,4,1,1,0,1.0
DET,7,12,2,4,1,0,1.0
BOS,4,5,2,7,0,1,0.0
DET,4,12,0,2,1,0,1.0
BOS,2,9,1,4,0,1,0.0
LAN,2,7,0,7,0,1,0.0
CHN,7,8,2,2,1,0,1.0
ATL,6,10,0,5,0,1,0.0
CIN,7,9,2,6,1,0,1.0
MIA,3,9,1,0,1,0,1.0
CLE,1,3,0,3,0,1,0.0
WAS,6,10,0,2,1,0,1.0
COL,3,6,1,6,0,1,0.0
